name	unknotting_number	three_genus	bridge_index	braid_index	signature	alexander_polynomial	jones_polynomial	homfly_polynomial	determinant	volume
Name	Unknotting Number	Genus	Bridge Index	Braid Index	Signature	Alexander	Jones	HOMFLY	Determinant	Volume
12n_787	1	4	3	4	-2	1-4*t+ 9*t^2-14*t^3+ 15*t^4-14*t^5+ 9*t^6-4*t^7+ t^8	t^(-3)-3*t^(-2)+ 6*t^(-1)-8+ 11*t-12*t^2+ 11*t^3-9*t^4+ 6*t^5-3*t^6+ t^7	(3-4*v^2+ 2*v^4)+ (5-12*v^2+ 5*v^4)*z^2+ (4-13*v^2+ 4*v^4)*z^4+ (1-6*v^2+ v^4)*z^6+ (-v^2)*z^8	71	14.27333895
12n_788	[1, 2]	3	3	5	0	2-10*t+ 25*t^2-35*t^3+ 25*t^4-10*t^5+ 2*t^6	t^(-4)-4*t^(-3)+ 9*t^(-2)-13*t^(-1)+ 17-18*t+ 17*t^2-14*t^3+ 9*t^4-5*t^5+ 2*t^6	(v^(-2)-v^4+ v^6)+ (v^(-2)-2-2*v^2)*z^2+ (v^(-2)-2-2*v^2+ v^4)*z^4+ (-1-v^2)*z^6	109	16.01272656
12n_789	1	3	3	5	0	2-9*t+ 20*t^2-27*t^3+ 20*t^4-9*t^5+ 2*t^6	-t^(-7)+ 4*t^(-6)-8*t^(-5)+ 12*t^(-4)-14*t^(-3)+ 15*t^(-2)-14*t^(-1)+ 11-7*t+ 3*t^2	(-v^(-6)+ 4*v^(-4)-4*v^(-2)+ 1+ v^2)+ (-v^(-6)+ 7*v^(-4)-11*v^(-2)+ 3)*z^2+ (3*v^(-4)-8*v^(-2)+ 2)*z^4+ (-2*v^(-2))*z^6	89	17.04923591
12n_790	[1, 2]	4	3	4	0	1-5*t+ 15*t^2-28*t^3+ 35*t^4-28*t^5+ 15*t^6-5*t^7+ t^8	-2*t^(-5)+ 6*t^(-4)-12*t^(-3)+ 18*t^(-2)-21*t^(-1)+ 23-20*t+ 16*t^2-10*t^3+ 4*t^4-t^5	(-v^(-4)+ 4-2*v^2)+ (-v^(-4)-v^(-2)+ 9-4*v^2)*z^2+ (-2*v^(-2)+ 10-3*v^2)*z^4+ (-v^(-2)+ 5-v^2)*z^6+ (1)*z^8	133	18.16852037
12n_791	[2, 3]	4	3	4	-4	1-5*t+ 13*t^2-18*t^3+ 19*t^4-18*t^5+ 13*t^6-5*t^7+ t^8	-t^(-1)+ 4-8*t+ 12*t^2-14*t^3+ 16*t^4-14*t^5+ 12*t^6-8*t^7+ 3*t^8-t^9	(-v^2+ 4*v^4-v^6-v^8)+ (-2*v^2+ 9*v^4-2*v^6)*z^2+ (-3*v^2+ 9*v^4-3*v^6)*z^4+ (-v^2+ 5*v^4-v^6)*z^6+ (v^4)*z^8	93	16.75997362
12n_792	[1, 2]	4	3	4	2	1-4*t+ 10*t^2-16*t^3+ 17*t^4-16*t^5+ 10*t^6-4*t^7+ t^8	t^(-7)-3*t^(-6)+ 6*t^(-5)-9*t^(-4)+ 12*t^(-3)-13*t^(-2)+ 12*t^(-1)-10+ 7*t-4*t^2+ 2*t^3	(2*v^(-4)-2*v^(-2)-1+ 2*v^2)+ (5*v^(-4)-11*v^(-2)+ 1+ v^2)*z^2+ (4*v^(-4)-13*v^(-2)+ 3)*z^4+ (v^(-4)-6*v^(-2)+ 1)*z^6+ (-v^(-2))*z^8	79	13.99645752
12n_793	[2, 3]	3	3	4	-4	3-9*t+ 12*t^2-13*t^3+ 12*t^4-9*t^5+ 3*t^6	2-3*t+ 6*t^2-8*t^3+ 9*t^4-10*t^5+ 9*t^6-7*t^7+ 4*t^8-2*t^9+ t^10	(5*v^2-6*v^4+ v^6+ v^8)+ (7*v^2-12*v^4-v^6+ 3*v^8)*z^2+ (2*v^2-9*v^4-3*v^6+ v^8)*z^4+ (-2*v^4-v^6)*z^6	61	12.57189969
12n_794	[1, 2]	3	3	5	0	2-9*t+ 23*t^2-33*t^3+ 23*t^4-9*t^5+ 2*t^6	t^(-6)-3*t^(-5)+ 7*t^(-4)-11*t^(-3)+ 15*t^(-2)-17*t^(-1)+ 16-14*t+ 10*t^2-5*t^3+ 2*t^4	(2*v^(-4)-2*v^(-2)+ v^4)+ (2*v^(-4)-5*v^(-2)-2)*z^2+ (v^(-4)-3*v^(-2)-2+ v^2)*z^4+ (-v^(-2)-1)*z^6	101	15.70684038
12n_795	[1, 2]	2	3	5	-2	6-20*t+ 27*t^2-20*t^3+ 6*t^4	2*t^(-1)-4+ 8*t-11*t^2+ 13*t^3-13*t^4+ 11*t^5-9*t^6+ 5*t^7-2*t^8+ t^9	(2-2*v^4+ v^8)+ (2-2*v^2-5*v^4+ v^8)*z^2+ (-2*v^2-3*v^4-v^6)*z^4	79	14.22192445
12n_796	[2, 3]	3	3	4	-4	2-11*t+ 22*t^2-27*t^3+ 22*t^4-11*t^5+ 2*t^6	2*t^2-5*t^3+ 10*t^4-13*t^5+ 16*t^6-16*t^7+ 14*t^8-11*t^9+ 6*t^10-3*t^11+ t^12	(v^4+ 3*v^6-4*v^8+ v^10)+ (4*v^4+ 3*v^6-5*v^8+ 2*v^10)*z^2+ (2*v^4-v^6-3*v^8+ v^10)*z^4+ (-v^6-v^8)*z^6	97	15.80253932
